"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2456518,27,NA,13.075,18.6,NA,NA,NA
2456520,29,NA,NA,NA,260.666666666667,NA,NA
2456525,35,NA,16.5,41.15,NA,NA,NA
2456526,35,NA,NA,NA,NA,NA,NA
2456527,36,NA,NA,NA,785.25,NA,NA
2456532,42,NA,18.825,88.1,NA,NA,NA
2456533,42,NA,NA,NA,NA,NA,NA
2456534,43,NA,NA,NA,1501.075,NA,NA
2456539,49,NA,20.9,136.575,NA,NA,NA
2456540,49,NA,NA,NA,NA,NA,NA
2456541,50,NA,NA,NA,3043.75,NA,NA
2456547,56,NA,22.5,179.75,NA,NA,NA
2456547,56,NA,NA,NA,NA,NA,NA
2456548,57,NA,NA,NA,4568,NA,NA
2456548,57,2.85,NA,NA,NA,NA,NA
2456553,63,NA,24.575,221.525,NA,NA,NA
2456554,63,NA,NA,NA,NA,NA,NA
2456555,64,NA,NA,NA,3778,NA,NA
2456560,70,NA,25.675,288.825,NA,NA,NA
2456561,70,NA,NA,NA,NA,NA,NA
2456562,71,NA,NA,NA,5068.5,NA,NA
2456562,71,3.625,NA,NA,NA,NA,NA
2456567,77,NA,25.85,332.925,NA,NA,NA
2456568,77,NA,NA,NA,NA,NA,NA
2456569,78,NA,NA,NA,4966,NA,NA
2456569,78,2.75,NA,NA,NA,NA,NA
2456575,84,NA,NA,NA,NA,NA,NA
2456576,85,NA,NA,NA,9181.75,NA,NA
2456582,91,NA,NA,NA,NA,NA,NA
2456584,93,NA,NA,NA,10010.5,NA,NA
2456586.5,95.5,2.65,NA,NA,NA,NA,NA
2456592.5,101.5,NA,NA,NA,NA,NA,NA
2456599.5,108.5,NA,NA,NA,NA,NA,NA
2456606.5,115.5,NA,NA,NA,NA,NA,NA
2456611,120,NA,NA,NA,11361,NA,NA
2456612,121,1.95,NA,NA,6897,NA,NA
2456614.5,123.5,1.3,NA,NA,NA,NA,NA
2456623.5,132.5,NA,NA,NA,NA,NA,NA
2456614.5,123.5,NA,NA,NA,NA,2475.31,13995.345
2456604,113,NA,NA,NA,NA,900.04,8715.815
